title,body,labels,estimate,depends_on,Milestone,Assignees
"Multi-Tenancy Data Model","Description: Add Organization entity and organizationId FK on User, Patient, and MedicalNote; migrate existing records.\nAcceptance Criteria:\n- All three tables contain non-null organizationId\n- Migration succeeds on fresh and existing DB\n- Schema docs updated","backend,architecture,security,multi-tenancy",5,"","MVP-Foundation",""
"Enforce Organization Scoping","Description: Refactor services/repositories so all reads/writes are scoped by organizationId, not doctorId only.\nAcceptance Criteria:\n- Cross-org access returns 404 or 403\n- Integration tests prove isolation for patients and notes","backend,security,multi-tenancy",5,"Multi-Tenancy Data Model","MVP-Foundation",""
"RBAC Roles and JWT Claims","Description: Add roles DOCTOR, NURSE, ADMIN, ORG_OWNER; include role and organizationId in JWT.\nAcceptance Criteria:\n- New users get default role\n- JWT contains role and org claims\n- Auth middleware populates request context","backend,auth,security,rbac",3,"Multi-Tenancy Data Model","MVP-Foundation",""
"Route Permission Middleware","Description: Implement permission guards per endpoint using RBAC matrix.\nAcceptance Criteria:\n- Forbidden actions return 403\n- Route tests cover role-path combinations","backend,auth,security,rbac",5,"RBAC Roles and JWT Claims","MVP-Foundation",""
"Patient Soft Delete","Description: Replace hard delete with deletedAt or isDeleted and hide deleted patients by default.\nAcceptance Criteria:\n- DELETE /api/patients/:id does not remove row\n- list/get exclude deleted unless explicitly requested","backend,patients,data-model",3,"Enforce Organization Scoping","MVP-Foundation",""
"Patient Update Endpoint","Description: Add PUT /api/patients/:id with validation and org/role checks.\nAcceptance Criteria:\n- Endpoint exists in router and OpenAPI\n- Update succeeds for allowed roles\n- Tests pass","backend,patients,api",2,"Route Permission Middleware; Enforce Organization Scoping","MVP-Workflow",""
"Patient Search Endpoint Enhancements","Description: Extend GET /api/patients with search/filter params (q, phone, gender, age, date range) and indexed queries.\nAcceptance Criteria:\n- Filters validated\n- Query performance acceptable\n- Pagination metadata preserved","backend,patients,api,performance",3,"Patient Soft Delete; Enforce Organization Scoping","MVP-Workflow",""
"Notes Update/Finalize Endpoint","Description: Implement PUT /api/notes/:id for clinician edits and finalize flow.\nAcceptance Criteria:\n- Draft note can be edited and finalized\n- Unauthorized roles blocked\n- OpenAPI updated","backend,notes,api",3,"Route Permission Middleware; Enforce Organization Scoping","MVP-Workflow",""
"Organization Dashboard Endpoint","Description: Implement GET /api/organization/dashboard with org-level summary stats.\nAcceptance Criteria:\n- Returns scoped aggregates (users/patients/notes/usage)\n- Protected by RBAC\n- Documented in OpenAPI","backend,organization,api,analytics",3,"Enforce Organization Scoping; RBAC Roles and JWT Claims","MVP-Workflow",""
"Structured Note Generation Contract","Description: Change generation input to structured clinical fields and noteType (SOAP, PROGRESS, REFERRAL).\nAcceptance Criteria:\n- Validator rejects invalid payloads/types\n- AI prompt builder uses structured fields\n- Tests updated","backend,notes,ai,validation",5,"Notes Update/Finalize Endpoint","MVP-Workflow",""
"Note Draft Lifecycle","Description: Add note statuses (DRAFT, FINAL) so generated notes start as draft and finalize via update endpoint.\nAcceptance Criteria:\n- POST /notes/generate creates draft\n- PUT /notes/:id finalizes\n- Status transitions enforced","backend,notes,workflow",3,"Structured Note Generation Contract; Notes Update/Finalize Endpoint","MVP-Workflow",""
"Audit and Access Logging","Description: Add AuditLog table and write logs for note edits/finalization and patient/note reads.\nAcceptance Criteria:\n- Entries include actor, org, action, resource, timestamp\n- Read/update operations produce logs","backend,security,compliance,audit",5,"Note Draft Lifecycle; Enforce Organization Scoping","MVP-Workflow",""
"Global API Rate Limiting","Description: Extend rate limiting to protected read/write endpoints with sensible per-route policies.\nAcceptance Criteria:\n- Excess calls return 429\n- Limits configurable via env\n- Integration tests for auth/patients/notes","backend,security,reliability",2,"","MVP-Hardening",""
"Schema Hardening for Notes","Description: Store structuredOutput as JSON instead of string and validate schema before persist.\nAcceptance Criteria:\n- Prisma type updated\n- Migration works\n- Invalid structures rejected","backend,notes,data-model",3,"Structured Note Generation Contract","MVP-Hardening",""
"Subscription and Feature Gating","Description: Add Subscription model and org-level usage gating for quotas/features.\nAcceptance Criteria:\n- Plan checks enforced in middleware\n- Usage tracked per org\n- Tests for plan limits","backend,billing,subscriptions,feature-gating",5,"Multi-Tenancy Data Model; Organization Dashboard Endpoint","MVP-Hardening",""
